Experiment	Tag	Anim	Date	Date/Time	Standing	Active	Lying	Steps	collar	DOP	lat	long	distance (m)	X_Act	Y_Act	% HeadDown	Activity	SMA	Diffxy	Meanxy	Varxy	logx	logy	logdiffxy	logmeanxy	logvarxy	logdistance	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123
Abdel	177416	1646	10/5/1950	13:03	0.0756	0.9244	0.0000	258	1527	2.7	35.9469622	-97.2692883	67.60	162	22	79	W	184	140	92	9800	2.2	1.3	2.1	2.0	4.0	1.8	152.4	208.3	43.8	217.3	398.3	107.0	39.5	6.7	175.7	208.6
Abdel	177360	1635	9/15/1950	9:23	0.7166	0.2834	0.0000	63	1525	2.4	35.9481433	-97.2684292	66.33	65	50	47	RL	115	15	58	112.5	1.8	1.7	1.2	1.8	2.1	1.8	64.9	133.8	69.7	245.8	411.2	152.4	163.1	139.6	259.4	328.1
Abdel	177492	1779	9/14/1950	11:19	0.2780	0.7220	0.0000	185	1531	2.7	35.9483731	-97.2677664	65.81	78	10	3	W	88	68	44	2312	1.9	1.0	1.8	1.6	3.4	1.8	180.9	27.7	152.4	346.3	476.1	64.9	208.3	189.7	217.3	324.3
Abdel	177416	1646	10/6/1950	11:19	0.3368	0.6632	0.0000	171	1527	2.2	35.9469783	-97.2688019	65.69	130	4	97	W	134	126	67	7938	2.1	0.6	2.1	1.8	3.9	1.8	165.4	64.0	151.7	295.2	419.4	180.9	133.8	43.8	245.8	398.3
Abdel	177492	1779	9/14/1950	11:32	0.1118	0.8882	0.0000	248	1531	2.5	35.9481403	-97.2676553	65.39	114	29	11	W	143	85	72	3612.5	2.1	1.5	1.9	1.9	3.6	1.8	129.8	22.8	248.5	254.0	486.2	165.4	27.7	69.7	346.3	411.2
Abdel	177416	1646	10/5/1950	11:24	0.0610	0.9390	0.0000	258	1527	3.3	35.9470283	-97.2680939	63.73	128	4	87	W	132	124	66	7688	2.1	0.6	2.1	1.8	3.9	1.8	124.2	147.5	6.3	356.4	501.0	129.8	64.0	152.4	295.2	476.1
Abdel	177492	1779	9/14/1950	11:41	0.4314	0.5686	0.0000	155	1531	2.5	35.9481353	-97.2679083	63.14	108	28	19	RS	136	80	68	3200	2.0	1.4	1.9	1.8	3.5	1.8	232.2	130.5	216.5	376.8	510.1	124.2	22.8	151.7	254.0	419.4
Abdel	177406	1635	10/6/1950	12:46	0.8930	0.1070	0.0000	24	1530	4.4	35.9465872	-97.2696397	62.45	102	19	93	G	121	83	61	3444.5	2.0	1.3	1.9	1.8	3.5	1.8	144.6	16.2	262.8	277.9	524.9	232.2	147.5	248.5	356.4	486.2
Abdel	177386	1636	10/5/1950	11:24	0.0616	0.9384	0.0000	258	1524	2.9	35.9469722	-97.2681053	62.21	158	10	2	W	168	148	84	10952	2.2	1.0	2.2	1.9	4.0	1.8	133.3	159.3	2.8	380.3	541.4	144.6	130.5	6.3	376.8	501.0
Abdel	177492	1713	10/5/1950	11:41	0.2476	0.7524	0.0000	210	1532	4.2	35.9467136	-97.2695511	61.86	169	56	25	G	225	113	113	6384.5	2.2	1.7	2.1	2.1	3.8	1.8	247.0	134.4	249.9	408.1	573.7	133.3	16.2	216.5	277.9	510.1
Abdel	177360	1635	9/14/1950	11:19	0.2494	0.7506	0.0000	186	1525	2.4	35.9483711	-97.2677244	61.69	109	52	14	W	161	57	81	1624.5	2.0	1.7	1.8	1.9	3.2	1.8	161.1	4.8	245.5	326.7	575.4	247.0	159.3	262.8	380.3	524.9
